Date,HY_LAST
5/1/23,489.445
5/1/23,476.811
4/28/23,465.955
4/27/23,470.974
4/26/23,483.59
4/25/23,481.028
4/24/23,467.91
4/21/23,467.734
4/20/23,475.56
4/19/23,468.695
4/18/23,461.592
4/17/23,458.287
4/14/23,458.936
4/13/23,464.059
4/12/23,479.437
4/11/23,473.558
4/10/23,481.438
4/7/23,480.058
4/6/23,489.635
4/5/23,494.313
4/4/23,480.255
4/3/23,469.233
3/31/23,463.389
3/30/23,477.542
3/29/23,486.158
3/28/23,509.456
3/27/23,503.459
3/24/23,517.68
3/23/23,526.658
3/22/23,510.765
3/21/23,490.153
3/20/23,530.656
3/17/23,529.688
3/16/23,502.931
3/15/23,528.898
3/14/23,509.705
3/13/23,534.519
3/10/23,498.109
3/9/23,478.457
3/8/23,454.61
3/7/23,446.851
3/6/23,430.514
3/3/23,432.619
3/2/23,455.594
3/1/23,457.271
2/28/23,462.528
2/27/23,458.322
2/24/23,465.296
2/23/23,452.494
2/22/23,461.634
2/21/23,466.967
2/17/23,444.447
2/16/23,448.094
2/15/23,434.03
2/14/23,434.224
2/13/23,431.708
2/10/23,442.057
2/9/23,430.993
2/8/23,424.432
2/7/23,415.658
2/6/23,425.73
2/3/23,418.677
2/2/23,408.093
2/1/23,415.862
1/31/23,429.973
1/30/23,443.92
1/27/23,431.977
1/26/23,430.836
1/25/23,433.586
1/24/23,432.044
1/23/23,434.659
1/20/23,446.101
1/19/23,458.497
1/18/23,444.782
1/17/23,433.273
1/13/23,424.097
1/12/23,424.464
1/11/23,435.854
1/10/23,452.196
1/9/23,451.411
1/6/23,449.508
1/5/23,474.722
1/4/23,470.101
1/3/23,478.006
12/30/22,483.975
12/29/22,483.203
12/28/22,502.338
12/27/22,477.619
12/23/22,476.158
12/22/22,485.105
12/21/22,477.206
12/20/22,502.838
12/19/22,496.403
12/16/22,488.736
12/15/22,474.537
12/14/22,450.226
12/13/22,449.586
12/12/22,466.412
12/9/22,479.354
12/8/22,485.727
12/7/22,490.027
12/6/22,494.36
12/5/22,478.161
12/2/22,463.402
12/1/22,458.831
11/30/22,452.486
11/29/22,477.589
11/28/22,481.892
11/25/22,460.555
11/23/22,456.313
11/22/22,469.025
11/21/22,479.886
