Date,IG
5/1/23,79.753
5/1/23,77.533
4/28/23,75.765
4/27/23,76.143
4/26/23,79.046
4/25/23,78.06
4/24/23,75.583
4/21/23,76.051
4/20/23,76.991
4/19/23,75.22
4/18/23,73.565
4/17/23,73.604
4/14/23,73.964
4/13/23,74.988
4/12/23,77.395
4/11/23,76.63
4/10/23,78.282
4/7/23,77.906
4/6/23,79.294
4/5/23,80.716
4/4/23,78.344
4/3/23,76.286
3/31/23,75.858
3/30/23,77.75
3/29/23,79.307
3/28/23,83.866
3/27/23,83.093
3/24/23,84.817
3/23/23,86.153
3/22/23,83.25
3/21/23,80.229
3/20/23,88.504
3/17/23,87.87
3/16/23,82.791
3/15/23,88.395
3/14/23,85.003
3/13/23,90.914
3/10/23,83.034
3/9/23,78.786
3/8/23,74.265
3/7/23,73.18
3/6/23,70.654
3/3/23,70.849
3/2/23,74.835
3/1/23,75.536
2/28/23,76.383
2/27/23,75.506
2/24/23,76.874
2/23/23,74.364
2/22/23,76.14
2/21/23,77.036
2/17/23,72.805
2/16/23,73.174
2/15/23,70.965
2/14/23,71.078
2/13/23,71.253
2/10/23,72.821
2/9/23,70.934
2/8/23,69.863
2/7/23,68.711
2/6/23,70.166
2/3/23,69.044
2/2/23,67.198
2/1/23,68.521
1/31/23,71.383
1/30/23,73.651
1/27/23,71.474
1/26/23,71.482
1/25/23,71.587
1/24/23,71.564
1/23/23,71.943
1/20/23,74.083
1/19/23,76.077
1/18/23,73.903
1/17/23,71.983
1/13/23,70.483
1/12/23,70.82
1/11/23,72.349
1/10/23,74.723
1/9/23,74.626
1/6/23,74.566
1/5/23,78.626
1/4/23,78.525
1/3/23,80.267
12/30/22,82.024
12/29/22,81.71
12/28/22,84.111
12/27/22,80.753
12/23/22,80.849
12/22/22,82.653
12/21/22,81.246
12/20/22,86.466
12/19/22,85.037
12/16/22,83.306
12/15/22,80.549
12/14/22,75.988
12/13/22,75.815
12/12/22,78.011
12/9/22,80.395
12/8/22,81.644
12/7/22,82.069
12/6/22,82.869
12/5/22,80.034
12/2/22,77.814
12/1/22,77.035
11/30/22,75.638
11/29/22,81.011
11/28/22,82.126
11/25/22,78.02
11/23/22,77.49
11/22/22,79.806
11/21/22,81.453
11/18/22,81.856
11/17/22,83.254
11/16/22,82.943
11/15/22,82.96
