Date,SPX_LAST,SPX,PX_VOLUME
5/1/23,4119.58,4116.39,#N/A N/A
5/1/23,4167.87,4161.33,601402036
4/28/23,4169.48,4165.81,787608270
4/27/23,4135.35,4138.22,702603285
4/26/23,4055.99,4069.59,687858779
4/25/23,4071.63,4100.59,652256285
4/24/23,4137.04,4129.63,546190361
4/21/23,4133.52,4131.02,673695731
4/20/23,4129.79,4131.44,650426296
4/19/23,4154.52,4149.68,544963738
4/18/23,4154.87,4161.83,557170578
4/17/23,4151.32,4149.19,570112694
4/14/23,4137.64,4144.63,565824739
4/13/23,4146.22,4141.91,623387846
4/12/23,4091.95,4088.03,590457622
4/11/23,4108.94,4110.17,538398239
4/10/23,4109.11,4111.52,530133222
4/6/23,4105.02,4107.92,567174261
4/5/23,4090.38,4084.75,648894831
4/4/23,4100.6,4100.69,623143201
4/3/23,4124.51,4123.19,656322603
3/31/23,4109.31,4117.48,805421222
3/30/23,4050.83,4051.44,535941328
3/29/23,4027.81,4022.72,626882401
3/28/23,3971.27,3972.39,510304653
3/27/23,3977.53,3979.28,640358337
3/24/23,3970.99,3974.47,686692170
3/23/23,3948.72,3955.58,761870844
3/22/23,3936.97,3943.94,692852985
3/21/23,4002.87,3997.15,815755012
3/20/23,3951.57,3951.01,809318155
3/17/23,3916.64,3909.3,2635067540
3/16/23,3960.28,3959,933059347
3/15/23,3891.93,3893.45,999772376
3/14/23,3919.29,3912.23,935067941
3/13/23,3855.76,3857.52,1009987819
3/10/23,3861.59,3876.92,833959877
3/9/23,3918.32,3913.77,687977276
3/8/23,3992.01,3994.52,539008248
3/7/23,3986.37,3988.1,621492593
3/6/23,4048.42,4047.11,612740212
3/3/23,4045.64,4048.22,618166137
3/2/23,3981.35,3975.36,610373912
3/1/23,3951.39,3955.77,605989833
2/28/23,3970.15,3965.94,976126672
2/27/23,3982.24,3983.47,553023498
2/24/23,3970.04,3968.91,603607841
2/23/23,4012.32,4006.76,619624415
2/22/23,3991.05,4004.16,618373661
2/21/23,3997.34,4002.01,681820082
2/17/23,4079.09,4079.76,672640488
2/16/23,4090.41,4086.49,604958840
2/15/23,4147.6,4150.67,560590364
2/14/23,4136.13,4130.62,596475366
2/13/23,4137.29,4141.45,601223890
2/10/23,4090.46,4087.84,615231190
2/9/23,4081.5,4094.93,689749135
2/8/23,4117.86,4126.88,651034169
2/7/23,4164,4153.66,675865264
2/6/23,4111.08,4117.21,590026670
2/3/23,4136.48,4138.71,735516487
2/2/23,4179.76,4145.1,845209740
2/1/23,4119.21,4138.7,791134659
1/31/23,4076.6,4067.59,949382016
1/30/23,4017.77,4022.09,591870717
1/27/23,4070.56,4067.34,627301536
1/26/23,4060.43,4053.12,609400783
1/25/23,4016.22,4013.96,612496177
1/24/23,4016.95,4029.07,485960316
1/23/23,4019.81,4019.43,615965463
1/20/23,3972.61,3974.23,831430861
1/19/23,3898.85,3914.81,661096852
1/18/23,3928.86,3928.52,673911697
1/17/23,3990.97,3991.46,678250927
1/13/23,3999.09,3999.74,573948029
1/12/23,3983.17,3986.45,632425453
1/11/23,3969.61,3978.76,640790420
1/10/23,3919.25,3921.63,551554241
1/9/23,3892.09,3882.64,668427994
1/6/23,3895.08,3895.35,662209787
1/5/23,3808.1,3814.78,632401697
1/4/23,3852.97,3850.83,721505963
